Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
135,DAL,2024-11-06,119,,CHI,W 119-99,240,45,93,0.484,33,55,0.6,12,38,0.316,17,21,0.81,119,36,86,0.419,24,44,0.545,12,42,0.286,15,23,0.652,99
136,TOR,2024-11-04,119,@,DEN,L 119-121,240,47,103,0.456,34,64,0.531,13,39,0.333,12,18,0.667,119,41,83,0.494,31,52,0.596,10,31,0.323,29,38,0.763,121
137,MIN,2024-11-01,119,,DEN,W 119-116,240,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,119,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,116
138,LAC,2024-10-31,119,,PHO,L 119-125,240,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,119,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,125
139,BRK,2024-10-30,119,@,MEM,W 119-106,240,41,80,0.513,26,39,0.667,15,41,0.366,22,25,0.88,119,38,81,0.469,30,54,0.556,8,27,0.296,22,29,0.759,106
140,ORL,2024-10-28,119,,IND,W 119-115,240,39,83,0.47,26,42,0.619,13,41,0.317,28,38,0.737,119,41,88,0.466,28,59,0.475,13,29,0.448,20,30,0.667,115
141,BOS,2024-10-28,119,,MIL,W 119-108,240,43,87,0.494,25,40,0.625,18,47,0.383,15,19,0.789,119,37,82,0.451,29,51,0.569,8,31,0.258,26,31,0.839,108
142,ATL,2024-10-28,119,,WAS,L 119-121,240,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,119,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,121
143,MEM,2024-11-15,118,@,GSW,L 118-123,240,42,103,0.408,35,61,0.574,7,42,0.167,27,33,0.818,118,43,98,0.439,24,52,0.462,19,46,0.413,18,25,0.72,123
144,PHO,2024-11-10,118,,SAC,L 118-127 (OT),265,44,105,0.419,26,48,0.542,18,57,0.316,12,15,0.8,118,50,102,0.49,39,65,0.6,11,37,0.297,16,19,0.842,127
145,SAS,2024-11-07,118,,POR,W 118-105,240,44,82,0.537,28,43,0.651,16,39,0.41,14,18,0.778,118,41,86,0.477,32,54,0.593,9,32,0.281,14,22,0.636,105
146,GSW,2024-11-06,118,@,BOS,W 118-112,240,42,91,0.462,28,57,0.491,14,34,0.412,20,24,0.833,118,38,90,0.422,19,36,0.528,19,54,0.352,17,21,0.81,112
147,IND,2024-11-06,118,,ORL,W 118-111,240,41,76,0.539,29,50,0.58,12,26,0.462,24,26,0.923,118,42,82,0.512,35,57,0.614,7,25,0.28,20,26,0.769,111
148,POR,2024-11-04,118,@,NOP,W 118-100,240,46,84,0.548,36,55,0.655,10,29,0.345,16,24,0.667,118,38,84,0.452,28,49,0.571,10,35,0.286,14,16,0.875,100
149,PHO,2024-11-04,118,,PHI,W 118-116,240,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,118,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,116
150,MIA,2024-11-02,118,@,WAS,W 118-98,240,43,102,0.422,28,65,0.431,15,37,0.405,17,24,0.708,118,38,91,0.418,31,56,0.554,7,35,0.2,15,21,0.714,98
151,IND,2024-11-01,118,@,NOP,L 118-125,240,46,89,0.517,30,51,0.588,16,38,0.421,10,13,0.769,118,49,101,0.485,37,70,0.529,12,31,0.387,15,19,0.789,125
152,PHI,2024-10-27,118,@,IND,W 118-114 (OT),265,42,98,0.429,31,56,0.554,11,42,0.262,23,31,0.742,118,39,84,0.464,26,52,0.5,13,32,0.406,23,34,0.676,114
153,DET,2024-10-26,118,,BOS,L 118-124,240,43,88,0.489,29,49,0.592,14,39,0.359,18,22,0.818,118,38,90,0.422,16,42,0.381,22,48,0.458,26,30,0.867,124
154,PHO,2024-11-17,117,@,MIN,L 117-120,240,46,85,0.541,32,54,0.593,14,31,0.452,11,15,0.733,117,42,80,0.525,25,41,0.61,17,39,0.436,19,26,0.731,120
155,UTA,2024-11-16,117,@,SAC,L 117-121,240,37,75,0.493,25,49,0.51,12,26,0.462,31,42,0.738,117,42,83,0.506,23,42,0.548,19,41,0.463,18,25,0.72,121
156,WAS,2024-11-15,117,@,ATL,L 117-129,240,43,106,0.406,28,63,0.444,15,43,0.349,16,21,0.762,117,46,98,0.469,34,61,0.557,12,37,0.324,25,30,0.833,129
157,DAL,2024-11-12,117,@,GSW,L 117-120,240,44,84,0.524,33,50,0.66,11,34,0.324,18,24,0.75,117,45,94,0.479,31,53,0.585,14,41,0.341,16,27,0.593,120
158,ATL,2024-11-12,117,@,BOS,W 117-116,240,50,99,0.505,40,67,0.597,10,32,0.313,7,13,0.538,117,38,75,0.507,20,30,0.667,18,45,0.4,22,27,0.815,116
159,GSW,2024-11-08,117,@,CLE,L 117-136,240,47,98,0.48,34,56,0.607,13,42,0.31,10,14,0.714,117,46,85,0.541,26,43,0.605,20,42,0.476,24,28,0.857,136
160,MIN,2024-10-24,117,@,SAC,W 117-115,240,41,86,0.477,21,36,0.583,20,50,0.4,15,17,0.882,117,38,82,0.463,27,53,0.509,11,29,0.379,28,35,0.8,115
161,LAC,2024-11-17,116,,UTA,W 116-105,240,46,94,0.489,35,54,0.648,11,40,0.275,13,17,0.765,116,39,79,0.494,27,39,0.692,12,40,0.3,15,18,0.833,105
162,BOS,2024-11-12,116,,ATL,L 116-117,240,38,75,0.507,20,30,0.667,18,45,0.4,22,27,0.815,116,50,99,0.505,40,67,0.597,10,32,0.313,7,13,0.538,117
163,SAS,2024-11-11,116,,SAC,W 116-96,240,43,85,0.506,21,39,0.538,22,46,0.478,8,8,1,116,39,91,0.429,29,53,0.547,10,38,0.263,8,9,0.889,96
164,OKC,2024-11-10,116,,GSW,L 116-127,240,42,94,0.447,31,61,0.508,11,33,0.333,21,26,0.808,116,45,89,0.506,24,46,0.522,21,43,0.488,16,23,0.696,127
165,NYK,2024-11-08,116,,MIL,W 116-94,240,43,91,0.473,29,45,0.644,14,46,0.304,16,19,0.842,116,36,83,0.434,29,53,0.547,7,30,0.233,15,23,0.652,94
166,LAL,2024-11-08,116,,PHI,W 116-106,240,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,116,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,106
167,NYK,2024-11-06,116,@,ATL,L 116-121,240,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,116,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,121
168,PHI,2024-11-04,116,@,PHO,L 116-118,240,40,87,0.46,20,36,0.556,20,51,0.392,16,18,0.889,116,42,82,0.512,31,50,0.62,11,32,0.344,23,26,0.885,118
169,CLE,2024-11-04,116,,MIL,W 116-114,240,46,91,0.505,29,54,0.537,17,37,0.459,7,13,0.538,116,42,86,0.488,25,51,0.49,17,35,0.486,13,15,0.867,114
170,DEN,2024-11-01,116,@,MIN,L 116-119,240,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,116,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,119
171,NYK,2024-10-30,116,@,MIA,W 116-107,240,40,82,0.488,22,42,0.524,18,40,0.45,18,20,0.9,116,37,81,0.457,20,41,0.488,17,40,0.425,16,24,0.667,107
172,WAS,2024-10-26,116,,CLE,L 116-135,240,37,96,0.385,22,53,0.415,15,43,0.349,27,32,0.844,116,47,88,0.534,29,49,0.592,18,39,0.462,23,34,0.676,135
173,ORL,2024-10-25,116,,BRK,W 116-101,240,39,75,0.52,24,45,0.533,15,30,0.5,23,33,0.697,116,35,83,0.422,21,46,0.457,14,37,0.378,17,21,0.81,101
174,PHO,2024-10-25,116,@,LAL,L 116-123,240,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,116,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,123
175,ORL,2024-10-23,116,@,MIA,W 116-97,240,41,96,0.427,23,47,0.489,18,49,0.367,16,22,0.727,116,32,82,0.39,21,48,0.438,11,34,0.324,22,29,0.759,97
176,BRK,2024-10-23,116,@,ATL,L 116-120,240,40,91,0.44,23,48,0.479,17,43,0.395,19,25,0.76,116,39,80,0.488,30,52,0.577,9,28,0.321,33,46,0.717,120
177,PHO,2024-10-23,116,@,LAC,W 116-113 (OT),265,38,78,0.487,23,40,0.575,15,38,0.395,25,34,0.735,116,42,92,0.457,34,63,0.54,8,29,0.276,21,30,0.7,113
178,CHO,2024-11-16,115,,MIL,W 115-114,240,41,93,0.441,26,51,0.51,15,42,0.357,18,21,0.857,115,47,92,0.511,32,56,0.571,15,36,0.417,5,11,0.455,114
179,SAS,2024-11-15,115,,LAL,L 115-120,240,43,88,0.489,26,43,0.605,17,45,0.378,12,16,0.75,115,44,88,0.5,30,57,0.526,14,31,0.452,18,23,0.783,120
180,UTA,2024-11-14,115,,DAL,W 115-113,240,43,85,0.506,30,51,0.588,13,34,0.382,16,21,0.762,115,43,85,0.506,31,46,0.674,12,39,0.308,15,20,0.75,113
181,ORL,2024-11-08,115,,NOP,W 115-88,240,45,86,0.523,37,54,0.685,8,32,0.25,17,21,0.81,115,32,84,0.381,22,53,0.415,10,31,0.323,14,17,0.824,88
182,PHO,2024-11-06,115,,MIA,W 115-112,240,42,84,0.5,24,41,0.585,18,43,0.419,13,18,0.722,115,40,92,0.435,27,58,0.466,13,34,0.382,19,20,0.95,112
183,DET,2024-11-04,115,,LAL,W 115-103,240,45,96,0.469,37,62,0.597,8,34,0.235,17,22,0.773,115,37,85,0.435,28,60,0.467,9,25,0.36,20,27,0.741,103
184,ATL,2024-11-01,115,,SAC,L 115-123,240,41,92,0.446,22,42,0.524,19,50,0.38,14,18,0.778,115,43,89,0.483,32,56,0.571,11,33,0.333,26,30,0.867,123
185,IND,2024-10-28,115,@,ORL,L 115-119,240,41,88,0.466,28,59,0.475,13,29,0.448,20,30,0.667,115,39,83,0.47,26,42,0.619,13,41,0.317,28,38,0.737,119
186,BRK,2024-10-27,115,,MIL,W 115-102,240,39,91,0.429,23,46,0.5,16,45,0.356,21,23,0.913,115,33,74,0.446,23,41,0.561,10,33,0.303,26,31,0.839,102
187,TOR,2024-10-25,115,,PHI,W 115-107,240,35,76,0.461,29,53,0.547,6,23,0.261,39,46,0.848,115,29,76,0.382,20,47,0.426,9,29,0.31,40,53,0.755,107
188,SAC,2024-10-24,115,,MIN,L 115-117,240,38,82,0.463,27,53,0.509,11,29,0.379,28,35,0.8,115,41,86,0.477,21,36,0.583,20,50,0.4,15,17,0.882,117
189,IND,2024-10-23,115,@,DET,W 115-109,240,42,83,0.506,33,52,0.635,9,31,0.29,22,25,0.88,115,38,88,0.432,29,55,0.527,9,33,0.273,24,28,0.857,109
190,CHO,2024-11-17,114,@,CLE,L 114-128,240,42,103,0.408,22,51,0.431,20,52,0.385,10,12,0.833,114,44,77,0.571,31,47,0.66,13,30,0.433,27,28,0.964,128
191,NYK,2024-11-17,114,,BRK,W 114-104,240,43,88,0.489,30,48,0.625,13,40,0.325,15,19,0.789,114,32,76,0.421,15,35,0.429,17,41,0.415,23,30,0.767,104
192,POR,2024-11-17,114,,ATL,W 114-110,240,44,95,0.463,30,57,0.526,14,38,0.368,12,19,0.632,114,39,85,0.459,28,53,0.528,11,32,0.344,21,25,0.84,110
193,MIL,2024-11-16,114,@,CHO,L 114-115,240,47,92,0.511,32,56,0.571,15,36,0.417,5,11,0.455,114,41,93,0.441,26,51,0.51,15,42,0.357,18,21,0.857,115
194,BRK,2024-11-13,114,,BOS,L 114-139,240,40,79,0.506,21,36,0.583,19,43,0.442,15,18,0.833,114,50,93,0.538,28,47,0.596,22,46,0.478,17,24,0.708,139
195,CLE,2024-11-13,114,@,PHI,W 114-106,240,42,85,0.494,26,45,0.578,16,40,0.4,14,17,0.824,114,41,92,0.446,27,49,0.551,14,43,0.326,10,11,0.909,106
196,ORL,2024-11-12,114,,CHO,W 114-89,240,43,93,0.462,30,49,0.612,13,44,0.295,15,19,0.789,114,34,84,0.405,21,46,0.457,13,38,0.342,8,14,0.571,89
197,PHO,2024-11-08,114,@,DAL,W 114-113,240,43,86,0.5,28,47,0.596,15,39,0.385,13,18,0.722,114,41,80,0.513,30,47,0.638,11,33,0.333,20,22,0.909,113
198,LAL,2024-11-06,114,@,MEM,L 114-131,240,41,93,0.441,26,45,0.578,15,48,0.313,17,21,0.81,114,48,93,0.516,31,59,0.525,17,34,0.5,18,23,0.783,131
199,MIN,2024-11-04,114,,CHO,W 114-93,240,39,79,0.494,21,41,0.512,18,38,0.474,18,26,0.692,114,35,88,0.398,25,46,0.543,10,42,0.238,13,16,0.813,93
200,MIL,2024-11-04,114,@,CLE,L 114-116,240,42,86,0.488,25,51,0.49,17,35,0.486,13,15,0.867,114,46,91,0.505,29,54,0.537,17,37,0.459,7,13,0.538,116
201,CLE,2024-11-02,114,@,MIL,W 114-113,240,44,91,0.484,29,53,0.547,15,38,0.395,11,15,0.733,114,43,89,0.483,25,50,0.5,18,39,0.462,9,15,0.6,113
202,POR,2024-11-01,114,,OKC,L 114-137,240,39,83,0.47,24,48,0.5,15,35,0.429,21,31,0.677,114,51,95,0.537,32,46,0.696,19,49,0.388,16,19,0.842,137
203,MIN,2024-10-29,114,,DAL,L 114-120,240,39,77,0.506,20,38,0.526,19,39,0.487,17,26,0.654,114,45,93,0.484,29,54,0.537,16,39,0.41,14,18,0.778,120
204,IND,2024-10-27,114,,PHI,L 114-118 (OT),265,39,84,0.464,26,52,0.5,13,32,0.406,23,34,0.676,114,42,98,0.429,31,56,0.554,11,42,0.262,23,31,0.742,118
205,MIA,2024-10-26,114,@,CHO,W 114-106,240,40,86,0.465,26,52,0.5,14,34,0.412,20,28,0.714,114,39,89,0.438,26,48,0.542,13,41,0.317,15,21,0.714,106
206,OKC,2024-10-26,114,@,CHI,W 114-95,240,45,107,0.421,37,67,0.552,8,40,0.2,16,20,0.8,114,32,92,0.348,17,39,0.436,15,53,0.283,16,22,0.727,95
207,PHO,2024-10-26,114,,DAL,W 114-102,240,36,80,0.45,22,41,0.537,14,39,0.359,28,37,0.757,114,37,93,0.398,24,52,0.462,13,41,0.317,15,18,0.833,102
208,DAL,2024-11-14,113,@,UTA,L 113-115,240,43,85,0.506,31,46,0.674,12,39,0.308,15,20,0.75,113,43,85,0.506,30,51,0.588,13,34,0.382,16,21,0.762,115
209,CHI,2024-11-11,113,,CLE,L 113-119,240,43,87,0.494,29,49,0.592,14,38,0.368,13,16,0.813,113,43,97,0.443,28,52,0.538,15,45,0.333,18,24,0.75,119
210,BOS,2024-11-10,113,@,MIL,W 113-107,240,35,86,0.407,16,36,0.444,19,50,0.38,24,27,0.889,113,39,81,0.481,26,49,0.531,13,32,0.406,16,21,0.762,107
211,ATL,2024-11-09,113,,CHI,L 113-125,240,41,89,0.461,32,60,0.533,9,29,0.31,22,30,0.733,113,46,92,0.5,33,53,0.623,13,39,0.333,20,23,0.87,125
212,DAL,2024-11-08,113,,PHO,L 113-114,240,41,80,0.513,30,47,0.638,11,33,0.333,20,22,0.909,113,43,86,0.5,28,47,0.596,15,39,0.385,13,18,0.722,114
213,LAC,2024-11-04,113,,SAS,W 113-104,240,41,90,0.456,22,53,0.415,19,37,0.514,12,17,0.706,113,38,86,0.442,27,45,0.6,11,41,0.268,17,19,0.895,104
214,MIL,2024-11-02,113,,CLE,L 113-114,240,43,89,0.483,25,50,0.5,18,39,0.462,9,15,0.6,113,44,91,0.484,29,53,0.547,15,38,0.395,11,15,0.733,114
215,BOS,2024-11-02,113,@,CHO,W 113-103,240,36,82,0.439,20,30,0.667,16,52,0.308,25,28,0.893,113,40,91,0.44,23,49,0.469,17,42,0.405,6,9,0.667,103
216,SAS,2024-11-02,113,,MIN,W 113-103,240,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,113,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,103
217,SAC,2024-10-29,113,@,UTA,W 113-96,240,48,92,0.522,40,61,0.656,8,31,0.258,9,14,0.643,113,35,89,0.393,21,41,0.512,14,48,0.292,12,14,0.857,96
218,CLE,2024-10-25,113,,DET,W 113-101,240,42,82,0.512,29,48,0.604,13,34,0.382,16,23,0.696,113,38,81,0.469,25,49,0.51,13,32,0.406,12,17,0.706,101
219,LAC,2024-10-23,113,,PHO,L 113-116 (OT),265,42,92,0.457,34,63,0.54,8,29,0.276,21,30,0.7,113,38,78,0.487,23,40,0.575,15,38,0.395,25,34,0.735,116
220,UTA,2024-11-12,112,,PHO,L 112-120,240,45,92,0.489,30,54,0.556,15,38,0.395,7,9,0.778,112,43,86,0.5,25,47,0.532,18,39,0.462,16,22,0.727,120
221,MIA,2024-11-06,112,@,PHO,L 112-115,240,40,92,0.435,27,58,0.466,13,34,0.382,19,20,0.95,112,42,84,0.5,24,41,0.585,18,43,0.419,13,18,0.722,115
222,BOS,2024-11-06,112,,GSW,L 112-118,240,38,90,0.422,19,36,0.528,19,54,0.352,17,21,0.81,112,42,91,0.462,28,57,0.491,14,34,0.412,20,24,0.833,118
223,WAS,2024-11-04,112,,GSW,L 112-125,240,42,96,0.438,32,53,0.604,10,43,0.233,18,21,0.857,112,44,97,0.454,32,60,0.533,12,37,0.324,25,34,0.735,125
224,CHI,2024-11-01,112,@,BRK,L 112-120,240,38,88,0.432,21,44,0.477,17,44,0.386,19,24,0.792,112,49,94,0.521,38,58,0.655,11,36,0.306,11,13,0.846,120
225,LAC,2024-10-27,112,@,GSW,W 112-104,240,42,90,0.467,32,58,0.552,10,32,0.313,18,23,0.783,112,38,88,0.432,24,45,0.533,14,43,0.326,14,22,0.636,104
226,MIN,2024-10-26,112,,TOR,W 112-101,240,39,83,0.47,25,46,0.543,14,37,0.378,20,26,0.769,112,41,90,0.456,31,61,0.508,10,29,0.345,9,13,0.692,101
227,IND,2024-11-15,111,,MIA,L 111-124,240,44,86,0.512,30,51,0.588,14,35,0.4,9,11,0.818,111,45,87,0.517,30,45,0.667,15,42,0.357,19,23,0.826,124
228,HOU,2024-11-13,111,,LAC,W 111-103,240,42,97,0.433,27,57,0.474,15,40,0.375,12,17,0.706,111,38,96,0.396,24,58,0.414,14,38,0.368,13,16,0.813,103
229,NYK,2024-11-12,111,@,PHI,W 111-99,240,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,111,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,99
230,UTA,2024-11-09,111,@,SAS,W 111-110,240,38,82,0.463,28,49,0.571,10,33,0.303,25,35,0.714,111,38,85,0.447,21,38,0.553,17,47,0.362,17,19,0.895,110
231,ORL,2024-11-06,111,@,IND,L 111-118,240,42,82,0.512,35,57,0.614,7,25,0.28,20,26,0.769,111,41,76,0.539,29,50,0.58,12,26,0.462,24,26,0.923,118
232,SAC,2024-11-04,111,@,MIA,W 111-110,240,44,86,0.512,34,59,0.576,10,27,0.37,13,15,0.867,111,37,85,0.435,22,49,0.449,15,36,0.417,21,30,0.7,110
233,NOP,2024-11-03,111,,ATL,L 111-126,240,39,90,0.433,23,52,0.442,16,38,0.421,17,20,0.85,111,50,88,0.568,35,52,0.673,15,36,0.417,11,12,0.917,126
234,SAC,2024-10-28,111,,POR,W 111-98,240,37,81,0.457,23,46,0.5,14,35,0.4,23,25,0.92,111,35,83,0.422,31,61,0.508,4,22,0.182,24,30,0.8,98
235,ORL,2024-10-26,111,@,MEM,L 111-124,240,37,87,0.425,20,39,0.513,17,48,0.354,20,28,0.714,111,46,86,0.535,33,52,0.635,13,34,0.382,19,24,0.792,124
236,CHI,2024-10-23,111,@,NOP,L 111-123,240,42,86,0.488,32,52,0.615,10,34,0.294,17,25,0.68,111,45,97,0.464,31,60,0.517,14,37,0.378,19,21,0.905,123
237,MIA,2024-11-17,110,@,IND,L 110-119,240,36,90,0.4,17,47,0.362,19,43,0.442,19,20,0.95,110,44,85,0.518,31,56,0.554,13,29,0.448,18,20,0.9,119
238,ATL,2024-11-17,110,@,POR,L 110-114,240,39,85,0.459,28,53,0.528,11,32,0.344,21,25,0.84,110,44,95,0.463,30,57,0.526,14,38,0.368,12,19,0.632,114
239,DAL,2024-11-16,110,,SAS,W 110-93,240,44,94,0.468,36,63,0.571,8,31,0.258,14,18,0.778,110,28,88,0.318,17,48,0.354,11,40,0.275,26,30,0.867,93
240,SAS,2024-11-09,110,,UTA,L 110-111,240,38,85,0.447,21,38,0.553,17,47,0.362,17,19,0.895,110,38,82,0.463,28,49,0.571,10,33,0.303,25,35,0.714,111
241,LAC,2024-11-06,110,,PHI,W 110-98,240,41,72,0.569,29,44,0.659,12,28,0.429,16,19,0.842,110,40,73,0.548,33,48,0.688,7,25,0.28,11,19,0.579,98
242,MIA,2024-11-04,110,,SAC,L 110-111,240,37,85,0.435,22,49,0.449,15,36,0.417,21,30,0.7,110,44,86,0.512,34,59,0.576,10,27,0.37,13,15,0.867,111
243,LAL,2024-10-30,110,@,CLE,L 110-134,240,38,77,0.494,32,49,0.653,6,28,0.214,28,33,0.848,110,56,97,0.577,39,56,0.696,17,41,0.415,5,8,0.625,134
244,DAL,2024-10-28,110,,UTA,W 110-102,240,43,95,0.453,32,56,0.571,11,39,0.282,13,17,0.765,110,34,92,0.37,24,57,0.421,10,35,0.286,24,29,0.828,102
245,CLE,2024-10-28,110,@,NYK,W 110-104,240,39,82,0.476,27,46,0.587,12,36,0.333,20,24,0.833,110,40,90,0.444,31,62,0.5,9,28,0.321,15,18,0.833,104
246,CHO,2024-10-23,110,@,HOU,W 110-105,240,38,85,0.447,23,46,0.5,15,39,0.385,19,24,0.792,110,38,103,0.369,25,60,0.417,13,43,0.302,16,20,0.8,105
247,LAL,2024-10-22,110,,MIN,W 110-103,240,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,110,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,103
248,HOU,2024-11-04,109,,NYK,W 109-97,240,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,109,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,97
249,CHO,2024-11-01,109,,BOS,L 109-124,240,42,91,0.462,23,43,0.535,19,48,0.396,6,12,0.5,109,41,86,0.477,28,44,0.636,13,42,0.31,29,35,0.829,124
250,ORL,2024-11-01,109,@,CLE,L 109-120,240,41,90,0.456,30,57,0.526,11,33,0.333,16,24,0.667,109,44,87,0.506,29,49,0.592,15,38,0.395,17,20,0.85,120
251,PHO,2024-10-28,109,,LAL,W 109-105,240,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,109,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,105
252,LAC,2024-10-26,109,@,DEN,W 109-104,240,40,82,0.488,28,49,0.571,12,33,0.364,17,21,0.81,109,35,87,0.402,21,52,0.404,14,35,0.4,20,24,0.833,104
253,SAS,2024-10-26,109,,HOU,W 109-106,240,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,109,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,106
254,SAS,2024-10-24,109,@,DAL,L 109-120,240,39,86,0.453,27,50,0.54,12,36,0.333,19,24,0.792,109,42,102,0.412,23,58,0.397,19,44,0.432,17,23,0.739,120
255,PHI,2024-10-23,109,,MIL,L 109-124,240,41,98,0.418,33,67,0.493,8,31,0.258,19,27,0.704,109,43,80,0.538,27,43,0.628,16,37,0.432,22,31,0.71,124
256,DET,2024-10-23,109,,IND,L 109-115,240,38,88,0.432,29,55,0.527,9,33,0.273,24,28,0.857,109,42,83,0.506,33,52,0.635,9,31,0.29,22,25,0.88,115
257,NYK,2024-10-22,109,@,BOS,L 109-132,240,43,78,0.551,32,48,0.667,11,30,0.367,12,16,0.75,109,48,95,0.505,19,34,0.559,29,61,0.475,7,8,0.875,132
258,MIN,2024-11-12,108,@,POR,L 108-122,240,37,73,0.507,24,38,0.632,13,35,0.371,21,23,0.913,108,43,84,0.512,25,52,0.481,18,32,0.563,18,20,0.9,122
259,BOS,2024-11-08,108,,BRK,W 108-104 (OT),265,39,90,0.433,25,37,0.676,14,53,0.264,16,19,0.842,108,41,100,0.41,31,62,0.5,10,38,0.263,12,15,0.8,104
260,CHO,2024-11-06,108,,DET,W 108-107,240,39,90,0.433,25,46,0.543,14,44,0.318,16,16,1,108,46,94,0.489,36,62,0.581,10,32,0.313,5,9,0.556,107
261,DAL,2024-11-03,108,,ORL,W 108-85,240,42,85,0.494,32,53,0.604,10,32,0.313,14,23,0.609,108,31,93,0.333,23,52,0.442,8,41,0.195,15,19,0.789,85
262,HOU,2024-10-31,108,@,DAL,W 108-102,240,40,97,0.412,32,63,0.508,8,34,0.235,20,27,0.741,108,39,85,0.459,29,55,0.527,10,30,0.333,14,20,0.7,102
263,MIL,2024-10-28,108,@,BOS,L 108-119,240,37,82,0.451,29,51,0.569,8,31,0.258,26,31,0.839,108,43,87,0.494,25,40,0.625,18,47,0.383,15,19,0.789,119
264,MEM,2024-10-25,108,@,HOU,L 108-128,240,38,91,0.418,28,63,0.444,10,28,0.357,22,36,0.611,108,43,98,0.439,26,55,0.473,17,43,0.395,25,36,0.694,128
265,CHI,2024-11-17,107,,HOU,L 107-143,240,36,107,0.336,22,51,0.431,14,56,0.25,21,22,0.955,107,55,105,0.524,45,71,0.634,10,34,0.294,23,32,0.719,143
266,HOU,2024-11-11,107,,WAS,W 107-92,240,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,107,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,92
267,BRK,2024-11-11,107,@,NOP,W 107-105,240,36,84,0.429,17,42,0.405,19,42,0.452,16,19,0.842,107,42,94,0.447,32,64,0.5,10,30,0.333,11,12,0.917,105
268,PHI,2024-11-10,107,,CHO,W 107-105 (OT),265,39,84,0.464,30,51,0.588,9,33,0.273,20,26,0.769,107,36,95,0.379,22,41,0.537,14,54,0.259,19,22,0.864,105
269,MIL,2024-11-10,107,,BOS,L 107-113,240,39,81,0.481,26,49,0.531,13,32,0.406,16,21,0.762,107,35,86,0.407,16,36,0.444,19,50,0.38,24,27,0.889,113
