Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
270,HOU,2024-11-08,107,@,OKC,L 107-126,240,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,107,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,126
271,LAC,2024-11-08,107,@,SAC,W 107-98,240,36,81,0.444,22,51,0.431,14,30,0.467,21,23,0.913,107,37,78,0.474,34,52,0.654,3,26,0.115,21,24,0.875,98
272,TOR,2024-11-06,107,@,SAC,L 107-122,240,43,88,0.489,33,54,0.611,10,34,0.294,11,15,0.733,107,42,90,0.467,32,55,0.582,10,35,0.286,28,32,0.875,122
273,DET,2024-11-06,107,@,CHO,L 107-108,240,46,94,0.489,36,62,0.581,10,32,0.313,5,9,0.556,107,39,90,0.433,25,46,0.543,14,44,0.318,16,16,1,108
274,PHI,2024-11-02,107,,MEM,L 107-124,240,36,89,0.404,17,43,0.395,19,46,0.413,16,20,0.8,107,48,87,0.552,36,60,0.6,12,27,0.444,16,21,0.762,124
275,MIA,2024-10-30,107,,NYK,L 107-116,240,37,81,0.457,20,41,0.488,17,40,0.425,16,24,0.667,107,40,82,0.488,22,42,0.524,18,40,0.45,18,20,0.9,116
276,PHI,2024-10-25,107,@,TOR,L 107-115,240,29,76,0.382,20,47,0.426,9,29,0.31,40,53,0.755,107,35,76,0.461,29,53,0.547,6,23,0.261,39,46,0.848,115
277,PHI,2024-11-13,106,,CLE,L 106-114,240,41,92,0.446,27,49,0.551,14,43,0.326,10,11,0.909,106,42,85,0.494,26,45,0.578,16,40,0.4,14,17,0.824,114
278,POR,2024-11-13,106,,MIN,W 106-98,240,38,83,0.458,29,58,0.5,9,25,0.36,21,23,0.913,106,37,94,0.394,30,55,0.545,7,39,0.179,17,22,0.773,98
279,OKC,2024-11-13,106,,NOP,W 106-88,240,39,88,0.443,24,49,0.49,15,39,0.385,13,16,0.813,106,34,86,0.395,25,49,0.51,9,37,0.243,11,17,0.647,88
280,PHI,2024-11-08,106,@,LAL,L 106-116,240,39,96,0.406,26,57,0.456,13,39,0.333,15,23,0.652,106,44,85,0.518,28,50,0.56,16,35,0.457,12,14,0.857,116
281,BRK,2024-11-04,106,,MEM,W 106-104,240,40,84,0.476,27,48,0.563,13,36,0.361,13,18,0.722,106,43,91,0.473,35,61,0.574,8,30,0.267,10,13,0.769,104
282,DET,2024-11-03,106,@,BRK,W 106-92,240,37,77,0.481,26,41,0.634,11,36,0.306,21,26,0.808,106,32,71,0.451,23,40,0.575,9,31,0.29,19,31,0.613,92
283,SAS,2024-10-31,106,@,UTA,W 106-88,240,38,92,0.413,26,49,0.531,12,43,0.279,18,23,0.783,106,32,82,0.39,25,50,0.5,7,32,0.219,17,19,0.895,88
284,POR,2024-10-30,106,@,LAC,W 106-105,240,41,92,0.446,27,59,0.458,14,33,0.424,10,12,0.833,106,41,90,0.456,28,54,0.519,13,36,0.361,10,18,0.556,105
285,MEM,2024-10-30,106,,BRK,L 106-119,240,38,81,0.469,30,54,0.556,8,27,0.296,22,29,0.759,106,41,80,0.513,26,39,0.667,15,41,0.366,22,25,0.88,119
286,NOP,2024-10-29,106,@,GSW,L 106-124,240,40,74,0.541,31,52,0.596,9,22,0.409,17,24,0.708,106,46,97,0.474,25,51,0.49,21,46,0.457,11,13,0.846,124
287,HOU,2024-10-28,106,@,SAS,W 106-101,240,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,106,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,101
288,MIA,2024-10-28,106,,DET,W 106-98,240,38,88,0.432,23,41,0.561,15,47,0.319,15,20,0.75,106,35,91,0.385,21,53,0.396,14,38,0.368,14,17,0.824,98
289,HOU,2024-10-26,106,@,SAS,L 106-109,240,38,92,0.413,25,51,0.49,13,41,0.317,17,21,0.81,106,39,79,0.494,31,59,0.525,8,20,0.4,23,28,0.821,109
290,CHO,2024-10-26,106,,MIA,L 106-114,240,39,89,0.438,26,48,0.542,13,41,0.317,15,21,0.714,106,40,86,0.465,26,52,0.5,14,34,0.412,20,28,0.714,114
291,TOR,2024-10-23,106,,CLE,L 106-136,240,36,86,0.419,24,55,0.436,12,31,0.387,22,29,0.759,106,51,87,0.586,37,57,0.649,14,30,0.467,20,26,0.769,136
292,UTA,2024-11-17,105,@,LAC,L 105-116,240,39,79,0.494,27,39,0.692,12,40,0.3,15,18,0.833,105,46,94,0.489,35,54,0.648,11,40,0.275,13,17,0.765,116
293,MEM,2024-11-17,105,,DEN,W 105-90,240,41,91,0.451,28,52,0.538,13,39,0.333,10,12,0.833,105,35,84,0.417,25,53,0.472,10,31,0.323,10,14,0.714,90
294,NOP,2024-11-11,105,,BRK,L 105-107,240,42,94,0.447,32,64,0.5,10,30,0.333,11,12,0.917,105,36,84,0.429,17,42,0.405,19,42,0.452,16,19,0.842,107
295,CHO,2024-11-10,105,@,PHI,L 105-107 (OT),265,36,95,0.379,22,41,0.537,14,54,0.259,19,22,0.864,105,39,84,0.464,30,51,0.588,9,33,0.273,20,26,0.769,107
296,LAC,2024-11-09,105,,TOR,W 105-103,240,35,76,0.461,25,50,0.5,10,26,0.385,25,32,0.781,105,40,95,0.421,29,58,0.5,11,37,0.297,12,21,0.571,103
297,CLE,2024-11-09,105,,BRK,W 105-100,240,40,74,0.541,30,46,0.652,10,28,0.357,15,19,0.789,105,34,76,0.447,19,33,0.576,15,43,0.349,17,18,0.944,100
298,POR,2024-11-07,105,@,SAS,L 105-118,240,41,86,0.477,32,54,0.593,9,32,0.281,14,22,0.636,105,44,82,0.537,28,43,0.651,16,39,0.41,14,18,0.778,118
299,OKC,2024-11-02,105,@,LAC,W 105-92,240,36,84,0.429,20,45,0.444,16,39,0.41,17,19,0.895,105,32,79,0.405,21,44,0.477,11,35,0.314,17,26,0.654,92
300,LAC,2024-10-30,105,,POR,L 105-106,240,41,90,0.456,28,54,0.519,13,36,0.361,10,18,0.556,105,41,92,0.446,27,59,0.458,14,33,0.424,10,12,0.833,106
301,OKC,2024-10-30,105,,SAS,W 105-93,240,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,105,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,93
302,DET,2024-10-30,105,@,PHI,W 105-95,240,36,78,0.462,21,42,0.5,15,36,0.417,18,22,0.818,105,33,79,0.418,25,51,0.49,8,28,0.286,21,28,0.75,95
303,LAL,2024-10-28,105,@,PHO,L 105-109,240,39,94,0.415,25,62,0.403,14,32,0.438,13,18,0.722,105,40,87,0.46,29,51,0.569,11,36,0.306,18,20,0.9,109
304,NOP,2024-10-25,105,@,POR,W 105-103,240,36,86,0.419,24,54,0.444,12,32,0.375,21,31,0.677,105,37,90,0.411,24,53,0.453,13,37,0.351,16,20,0.8,103
305,HOU,2024-10-23,105,,CHO,L 105-110,240,38,103,0.369,25,60,0.417,13,43,0.302,16,20,0.8,105,38,85,0.447,23,46,0.5,15,39,0.385,19,24,0.792,110
306,BRK,2024-11-17,104,@,NYK,L 104-114,240,32,76,0.421,15,35,0.429,17,41,0.415,23,30,0.767,104,43,88,0.489,30,48,0.625,13,40,0.325,15,19,0.789,114
307,WAS,2024-11-17,104,,DET,L 104-124,240,39,83,0.47,27,56,0.482,12,27,0.444,14,20,0.7,104,46,97,0.474,29,59,0.492,17,38,0.447,15,19,0.789,124
308,LAL,2024-11-16,104,@,NOP,W 104-99,240,39,89,0.438,27,49,0.551,12,40,0.3,14,18,0.778,104,35,83,0.422,24,54,0.444,11,29,0.379,18,23,0.783,99
309,LAC,2024-11-15,104,@,HOU,L 104-125,240,34,90,0.378,24,50,0.48,10,40,0.25,26,33,0.788,104,46,95,0.484,27,51,0.529,19,44,0.432,14,18,0.778,125
310,PHO,2024-11-13,104,@,SAC,L 104-127,240,36,97,0.371,23,54,0.426,13,43,0.302,19,26,0.731,104,50,78,0.641,35,50,0.7,15,28,0.536,12,17,0.706,127
311,BRK,2024-11-08,104,@,BOS,L 104-108 (OT),265,41,100,0.41,31,62,0.5,10,38,0.263,12,15,0.8,104,39,90,0.433,25,37,0.676,14,53,0.264,16,19,0.842,108
312,WAS,2024-11-08,104,@,MEM,L 104-128,240,38,93,0.409,29,58,0.5,9,35,0.257,19,23,0.826,104,46,97,0.474,32,54,0.593,14,43,0.326,22,25,0.88,128
313,SAS,2024-11-04,104,@,LAC,L 104-113,240,38,86,0.442,27,45,0.6,11,41,0.268,17,19,0.895,104,41,90,0.456,22,53,0.415,19,37,0.514,12,17,0.706,113
314,MEM,2024-11-04,104,@,BRK,L 104-106,240,43,91,0.473,35,61,0.574,8,30,0.267,10,13,0.769,104,40,84,0.476,27,48,0.563,13,36,0.361,13,18,0.722,106
315,GSW,2024-10-30,104,,NOP,W 104-89,240,41,87,0.471,28,49,0.571,13,38,0.342,9,13,0.692,104,33,90,0.367,22,54,0.407,11,36,0.306,12,20,0.6,89
316,NYK,2024-10-28,104,,CLE,L 104-110,240,40,90,0.444,31,62,0.5,9,28,0.321,15,18,0.833,104,39,82,0.476,27,46,0.587,12,36,0.333,20,24,0.833,110
317,GSW,2024-10-27,104,,LAC,L 104-112,240,38,88,0.432,24,45,0.533,14,43,0.326,14,22,0.636,104,42,90,0.467,32,58,0.552,10,32,0.313,18,23,0.783,112
318,ATL,2024-10-27,104,@,OKC,L 104-128,240,36,91,0.396,26,60,0.433,10,31,0.323,22,29,0.759,104,44,89,0.494,28,49,0.571,16,40,0.4,24,32,0.75,128
319,DEN,2024-10-26,104,,LAC,L 104-109,240,35,87,0.402,21,52,0.404,14,35,0.4,20,24,0.833,104,40,82,0.488,28,49,0.571,12,33,0.364,17,21,0.81,109
320,POR,2024-10-23,104,,GSW,L 104-140,240,36,92,0.391,28,58,0.483,8,34,0.235,24,30,0.8,104,48,93,0.516,28,45,0.622,20,48,0.417,24,30,0.8,140
321,LAC,2024-11-13,103,@,HOU,L 103-111,240,38,96,0.396,24,58,0.414,14,38,0.368,13,16,0.813,103,42,97,0.433,27,57,0.474,15,40,0.375,12,17,0.706,111
322,TOR,2024-11-10,103,@,LAL,L 103-123,240,37,82,0.451,27,53,0.509,10,29,0.345,19,22,0.864,103,44,86,0.512,32,49,0.653,12,37,0.324,23,28,0.821,123
323,TOR,2024-11-09,103,@,LAC,L 103-105,240,40,95,0.421,29,58,0.5,11,37,0.297,12,21,0.571,103,35,76,0.461,25,50,0.5,10,26,0.385,25,32,0.781,105
324,CHO,2024-11-08,103,,IND,W 103-83,240,38,90,0.422,21,40,0.525,17,50,0.34,10,12,0.833,103,33,83,0.398,24,54,0.444,9,29,0.31,8,14,0.571,83
325,LAL,2024-11-04,103,@,DET,L 103-115,240,37,85,0.435,28,60,0.467,9,25,0.36,20,27,0.741,103,45,96,0.469,37,62,0.597,8,34,0.235,17,22,0.773,115
326,UTA,2024-11-02,103,@,DEN,L 103-129,240,32,77,0.416,19,35,0.543,13,42,0.31,26,31,0.839,103,48,99,0.485,32,67,0.478,16,32,0.5,17,23,0.739,129
327,CHO,2024-11-02,103,,BOS,L 103-113,240,40,91,0.44,23,49,0.469,17,42,0.405,6,9,0.667,103,36,82,0.439,20,30,0.667,16,52,0.308,25,28,0.893,113
328,PHO,2024-11-02,103,,POR,W 103-97,240,35,93,0.376,18,41,0.439,17,52,0.327,16,22,0.727,103,37,111,0.333,23,68,0.338,14,43,0.326,9,11,0.818,97
329,MIN,2024-11-02,103,@,SAS,L 103-113,240,39,82,0.476,28,45,0.622,11,37,0.297,14,20,0.7,103,43,83,0.518,30,41,0.732,13,42,0.31,14,17,0.824,113
330,NOP,2024-10-27,103,@,POR,L 103-125,240,38,88,0.432,30,59,0.508,8,29,0.276,19,24,0.792,103,43,93,0.462,29,58,0.5,14,35,0.4,25,32,0.781,125
331,POR,2024-10-25,103,,NOP,L 103-105,240,37,90,0.411,24,53,0.453,13,37,0.351,16,20,0.8,103,36,86,0.419,24,54,0.444,12,32,0.375,21,31,0.677,105
332,MIN,2024-10-22,103,@,LAL,L 103-110,240,35,85,0.412,22,44,0.5,13,41,0.317,20,27,0.741,103,42,95,0.442,37,65,0.569,5,30,0.167,21,25,0.84,110
333,POR,2024-11-08,102,@,MIN,L 102-127,240,39,91,0.429,33,66,0.5,6,25,0.24,18,24,0.75,102,47,97,0.485,25,47,0.532,22,50,0.44,11,14,0.786,127
334,OKC,2024-11-04,102,,ORL,W 102-86,240,39,85,0.459,27,54,0.5,12,31,0.387,12,16,0.75,102,29,82,0.354,24,48,0.5,5,34,0.147,23,27,0.852,86
335,DAL,2024-10-31,102,,HOU,L 102-108,240,39,85,0.459,29,55,0.527,10,30,0.333,14,20,0.7,102,40,97,0.412,32,63,0.508,8,34,0.235,20,27,0.741,108
336,CHI,2024-10-30,102,,ORL,W 102-99,240,36,84,0.429,23,50,0.46,13,34,0.382,17,25,0.68,102,35,86,0.407,24,40,0.6,11,46,0.239,18,20,0.9,99
337,UTA,2024-10-28,102,@,DAL,L 102-110,240,34,92,0.37,24,57,0.421,10,35,0.286,24,29,0.828,102,43,95,0.453,32,56,0.571,11,39,0.282,13,17,0.765,110
338,MIL,2024-10-27,102,@,BRK,L 102-115,240,33,74,0.446,23,41,0.561,10,33,0.303,26,31,0.839,102,39,91,0.429,23,46,0.5,16,45,0.356,21,23,0.913,115
339,DAL,2024-10-26,102,@,PHO,L 102-114,240,37,93,0.398,24,52,0.462,13,41,0.317,15,18,0.833,102,36,80,0.45,22,41,0.537,14,39,0.359,28,37,0.757,114
340,OKC,2024-10-24,102,@,DEN,W 102-87,240,43,101,0.426,35,65,0.538,8,36,0.222,8,12,0.667,102,35,98,0.357,28,60,0.467,7,38,0.184,10,14,0.714,87
341,WAS,2024-10-24,102,,BOS,L 102-122,240,41,95,0.432,34,59,0.576,7,36,0.194,13,18,0.722,102,42,90,0.467,25,45,0.556,17,45,0.378,21,27,0.778,122
342,NOP,2024-11-15,101,,DEN,W 101-94,240,37,87,0.425,26,52,0.5,11,35,0.314,16,18,0.889,101,37,87,0.425,27,50,0.54,10,37,0.27,10,11,0.909,94
343,HOU,2024-11-10,101,@,DET,W 101-99,240,38,93,0.409,31,59,0.525,7,34,0.206,18,24,0.75,101,36,84,0.429,25,50,0.5,11,34,0.324,16,23,0.696,99
344,SAS,2024-10-28,101,,HOU,L 101-106,240,37,87,0.425,27,54,0.5,10,33,0.303,17,21,0.81,101,35,85,0.412,20,48,0.417,15,37,0.405,21,24,0.875,106
345,TOR,2024-10-26,101,@,MIN,L 101-112,240,41,90,0.456,31,61,0.508,10,29,0.345,9,13,0.692,101,39,83,0.47,25,46,0.543,14,37,0.378,20,26,0.769,112
346,BRK,2024-10-25,101,@,ORL,L 101-116,240,35,83,0.422,21,46,0.457,14,37,0.378,17,21,0.81,101,39,75,0.52,24,45,0.533,15,30,0.5,23,33,0.697,116
347,DET,2024-10-25,101,@,CLE,L 101-113,240,38,81,0.469,25,49,0.51,13,32,0.406,12,17,0.706,101,42,82,0.512,29,48,0.604,13,34,0.382,16,23,0.696,113
348,BRK,2024-11-09,100,@,CLE,L 100-105,240,34,76,0.447,19,33,0.576,15,43,0.349,17,18,0.944,100,40,74,0.541,30,46,0.652,10,28,0.357,15,19,0.789,105
349,UTA,2024-11-07,100,@,MIL,L 100-123,240,33,77,0.429,16,36,0.444,17,41,0.415,17,18,0.944,100,43,84,0.512,28,49,0.571,15,35,0.429,22,30,0.733,123
350,SAS,2024-11-06,100,@,HOU,L 100-127,240,37,83,0.446,23,47,0.489,14,36,0.389,12,16,0.75,100,54,96,0.563,44,69,0.638,10,27,0.37,9,15,0.6,127
351,NOP,2024-11-04,100,,POR,L 100-118,240,38,84,0.452,28,49,0.571,10,35,0.286,14,16,0.875,100,46,84,0.548,36,55,0.655,10,29,0.345,16,24,0.667,118
352,NOP,2024-11-16,99,,LAL,L 99-104,240,35,83,0.422,24,54,0.444,11,29,0.379,18,23,0.783,99,39,89,0.438,27,49,0.551,12,40,0.3,14,18,0.778,104
353,OKC,2024-11-15,99,,PHO,W 99-83,240,36,91,0.396,26,51,0.51,10,40,0.25,17,18,0.944,99,22,75,0.293,13,38,0.342,9,37,0.243,30,40,0.75,83
354,DET,2024-11-15,99,@,TOR,W 99-95,240,39,95,0.411,31,57,0.544,8,38,0.211,13,20,0.65,99,35,97,0.361,27,66,0.409,8,31,0.258,17,22,0.773,95
355,PHI,2024-11-12,99,,NYK,L 99-111,240,31,83,0.373,17,41,0.415,14,42,0.333,23,24,0.958,99,44,89,0.494,35,58,0.603,9,31,0.29,14,15,0.933,111
356,MIL,2024-11-12,99,,TOR,W 99-85,240,38,94,0.404,22,38,0.579,16,56,0.286,7,12,0.583,99,30,86,0.349,21,61,0.344,9,25,0.36,16,20,0.8,85
357,DET,2024-11-10,99,,HOU,L 99-101,240,36,84,0.429,25,50,0.5,11,34,0.324,16,23,0.696,99,38,93,0.409,31,59,0.525,7,34,0.206,18,24,0.75,101
358,CHI,2024-11-06,99,@,DAL,L 99-119,240,36,86,0.419,24,44,0.545,12,42,0.286,15,23,0.652,99,45,93,0.484,33,55,0.6,12,38,0.316,17,21,0.81,119
359,MIL,2024-10-31,99,@,MEM,L 99-122,240,41,96,0.427,32,54,0.593,9,42,0.214,8,19,0.421,99,43,82,0.524,35,54,0.648,8,28,0.286,28,31,0.903,122
360,ORL,2024-10-30,99,@,CHI,L 99-102,240,35,86,0.407,24,40,0.6,11,46,0.239,18,20,0.9,99,36,84,0.429,23,50,0.46,13,34,0.382,17,25,0.68,102
361,ORL,2024-11-15,98,,PHI,W 98-86,240,34,78,0.436,23,41,0.561,11,37,0.297,19,22,0.864,98,29,72,0.403,19,41,0.463,10,31,0.323,18,21,0.857,86
362,MIN,2024-11-13,98,@,POR,L 98-106,240,37,94,0.394,30,55,0.545,7,39,0.179,17,22,0.773,98,38,83,0.458,29,58,0.5,9,25,0.36,21,23,0.913,106
363,SAC,2024-11-08,98,,LAC,L 98-107,240,37,78,0.474,34,52,0.654,3,26,0.115,21,24,0.875,98,36,81,0.444,22,51,0.431,14,30,0.467,21,23,0.913,107
364,PHI,2024-11-06,98,@,LAC,L 98-110,240,40,73,0.548,33,48,0.688,7,25,0.28,11,19,0.579,98,41,72,0.569,29,44,0.659,12,28,0.429,16,19,0.842,110
365,WAS,2024-11-02,98,,MIA,L 98-118,240,38,91,0.418,31,56,0.554,7,35,0.2,15,21,0.714,98,43,102,0.422,28,65,0.431,15,37,0.405,17,24,0.708,118
366,DET,2024-11-01,98,,NYK,L 98-128,240,41,81,0.506,30,47,0.638,11,34,0.324,5,7,0.714,98,52,101,0.515,34,63,0.54,18,38,0.474,6,10,0.6,128
367,POR,2024-10-28,98,@,SAC,L 98-111,240,35,83,0.422,31,61,0.508,4,22,0.182,24,30,0.8,98,37,81,0.457,23,46,0.5,14,35,0.4,23,25,0.92,111
368,DET,2024-10-28,98,@,MIA,L 98-106,240,35,91,0.385,21,53,0.396,14,38,0.368,14,17,0.824,98,38,88,0.432,23,41,0.561,15,47,0.319,15,20,0.75,106
369,IND,2024-10-25,98,@,NYK,L 98-123,240,41,83,0.494,38,53,0.717,3,30,0.1,13,20,0.65,98,44,84,0.524,32,57,0.561,12,27,0.444,23,29,0.793,123
370,NYK,2024-11-04,97,@,HOU,L 97-109,240,34,88,0.386,23,60,0.383,11,28,0.393,18,21,0.857,97,43,88,0.489,35,55,0.636,8,33,0.242,15,18,0.833,109
371,POR,2024-11-02,97,@,PHO,L 97-103,240,37,111,0.333,23,68,0.338,14,43,0.326,9,11,0.818,97,35,93,0.376,18,41,0.439,17,52,0.327,16,22,0.727,103
372,MIA,2024-10-23,97,,ORL,L 97-116,240,32,82,0.39,21,48,0.438,11,34,0.324,22,29,0.759,97,41,96,0.427,23,47,0.489,18,49,0.367,16,22,0.727,116
373,SAC,2024-11-11,96,@,SAS,L 96-116,240,39,91,0.429,29,53,0.547,10,38,0.263,8,9,0.889,96,43,85,0.506,21,39,0.538,22,46,0.478,8,8,1,116
374,UTA,2024-10-29,96,,SAC,L 96-113,240,35,89,0.393,21,41,0.512,14,48,0.292,12,14,0.857,96,48,92,0.522,40,61,0.656,8,31,0.258,9,14,0.643,113
375,TOR,2024-11-15,95,,DET,L 95-99,240,35,97,0.361,27,66,0.409,8,31,0.258,17,22,0.773,95,39,95,0.411,31,57,0.544,8,38,0.211,13,20,0.65,99
376,MIA,2024-11-10,95,@,MIN,W 95-94,240,34,77,0.442,23,46,0.5,11,31,0.355,16,22,0.727,95,35,88,0.398,22,43,0.512,13,45,0.289,11,13,0.846,94
377,PHI,2024-10-30,95,,DET,L 95-105,240,33,79,0.418,25,51,0.49,8,28,0.286,21,28,0.75,95,36,78,0.462,21,42,0.5,15,36,0.417,18,22,0.818,105
378,CHI,2024-10-26,95,,OKC,L 95-114,240,32,92,0.348,17,39,0.436,15,53,0.283,16,22,0.727,95,45,107,0.421,37,67,0.552,8,40,0.2,16,20,0.8,114
379,DEN,2024-11-15,94,@,NOP,L 94-101,240,37,87,0.425,27,50,0.54,10,37,0.27,10,11,0.909,94,37,87,0.425,26,52,0.5,11,35,0.314,16,18,0.889,101
380,ORL,2024-11-13,94,,IND,W 94-90,240,34,84,0.405,21,46,0.457,13,38,0.342,13,15,0.867,94,32,84,0.381,22,54,0.407,10,30,0.333,16,18,0.889,90
381,WAS,2024-11-10,94,@,ORL,L 94-121,240,33,72,0.458,23,39,0.59,10,33,0.303,18,25,0.72,94,41,91,0.451,24,43,0.558,17,48,0.354,22,25,0.88,121
382,MIN,2024-11-10,94,,MIA,L 94-95,240,35,88,0.398,22,43,0.512,13,45,0.289,11,13,0.846,94,34,77,0.442,23,46,0.5,11,31,0.355,16,22,0.727,95
383,MIL,2024-11-08,94,@,NYK,L 94-116,240,36,83,0.434,29,53,0.547,7,30,0.233,15,23,0.652,94,43,91,0.473,29,45,0.644,14,46,0.304,16,19,0.842,116
384,SAS,2024-11-16,93,@,DAL,L 93-110,240,28,88,0.318,17,48,0.354,11,40,0.275,26,30,0.867,93,44,94,0.468,36,63,0.571,8,31,0.258,14,18,0.778,110
385,CHO,2024-11-04,93,@,MIN,L 93-114,240,35,88,0.398,25,46,0.543,10,42,0.238,13,16,0.813,93,39,79,0.494,21,41,0.512,18,38,0.474,18,26,0.692,114
386,ATL,2024-11-04,93,,BOS,L 93-123,240,37,89,0.416,31,58,0.534,6,31,0.194,13,16,0.813,93,48,99,0.485,30,44,0.682,18,55,0.327,9,13,0.692,123
387,SAS,2024-10-30,93,@,OKC,L 93-105,240,35,85,0.412,23,49,0.469,12,36,0.333,11,13,0.846,93,41,89,0.461,24,48,0.5,17,41,0.415,6,8,0.75,105
388,WAS,2024-11-11,92,@,HOU,L 92-107,240,36,88,0.409,25,57,0.439,11,31,0.355,9,13,0.692,92,40,87,0.46,35,64,0.547,5,23,0.217,22,25,0.88,107
389,BRK,2024-11-03,92,,DET,L 92-106,240,32,71,0.451,23,40,0.575,9,31,0.29,19,31,0.613,92,37,77,0.481,26,41,0.634,11,36,0.306,21,26,0.808,106
390,LAC,2024-11-02,92,,OKC,L 92-105,240,32,79,0.405,21,44,0.477,11,35,0.314,17,26,0.654,92,36,84,0.429,20,45,0.444,16,39,0.41,17,19,0.895,105
391,DEN,2024-11-17,90,@,MEM,L 90-105,240,35,84,0.417,25,53,0.472,10,31,0.323,10,14,0.714,90,41,91,0.451,28,52,0.538,13,39,0.333,10,12,0.833,105
392,IND,2024-11-13,90,@,ORL,L 90-94,240,32,84,0.381,22,54,0.407,10,30,0.333,16,18,0.889,90,34,84,0.405,21,46,0.457,13,38,0.342,13,15,0.867,94
393,CHO,2024-11-12,89,@,ORL,L 89-114,240,34,84,0.405,21,46,0.457,13,38,0.342,8,14,0.571,89,43,93,0.462,30,49,0.612,13,44,0.295,15,19,0.789,114
394,POR,2024-11-10,89,,MEM,L 89-134,240,34,100,0.34,30,58,0.517,4,42,0.095,17,21,0.81,89,47,85,0.553,31,42,0.738,16,43,0.372,24,28,0.857,134
395,NOP,2024-10-30,89,@,GSW,L 89-104,240,33,90,0.367,22,54,0.407,11,36,0.306,12,20,0.6,89,41,87,0.471,28,49,0.571,13,38,0.342,9,13,0.692,104
396,NOP,2024-11-13,88,@,OKC,L 88-106,240,34,86,0.395,25,49,0.51,9,37,0.243,11,17,0.647,88,39,88,0.443,24,49,0.49,15,39,0.385,13,16,0.813,106
397,NOP,2024-11-08,88,@,ORL,L 88-115,240,32,84,0.381,22,53,0.415,10,31,0.323,14,17,0.824,88,45,86,0.523,37,54,0.685,8,32,0.25,17,21,0.81,115
398,UTA,2024-10-31,88,,SAS,L 88-106,240,32,82,0.39,25,50,0.5,7,32,0.219,17,19,0.895,88,38,92,0.413,26,49,0.531,12,43,0.279,18,23,0.783,106
399,DEN,2024-10-24,87,,OKC,L 87-102,240,35,98,0.357,28,60,0.467,7,38,0.184,10,14,0.714,87,43,101,0.426,35,65,0.538,8,36,0.222,8,12,0.667,102
400,PHI,2024-11-15,86,@,ORL,L 86-98,240,29,72,0.403,19,41,0.463,10,31,0.323,18,21,0.857,86,34,78,0.436,23,41,0.561,11,37,0.297,19,22,0.864,98
401,ORL,2024-11-04,86,@,OKC,L 86-102,240,29,82,0.354,24,48,0.5,5,34,0.147,23,27,0.852,86,39,85,0.459,27,54,0.5,12,31,0.387,12,16,0.75,102
402,UTA,2024-10-25,86,,GSW,L 86-127,240,29,92,0.315,20,50,0.4,9,42,0.214,19,26,0.731,86,51,106,0.481,31,56,0.554,20,50,0.4,5,6,0.833,127
403,TOR,2024-11-12,85,@,MIL,L 85-99,240,30,86,0.349,21,61,0.344,9,25,0.36,16,20,0.8,85,38,94,0.404,22,38,0.579,16,56,0.286,7,12,0.583,99
404,ORL,2024-11-03,85,@,DAL,L 85-108,240,31,93,0.333,23,52,0.442,8,41,0.195,15,19,0.789,85,42,85,0.494,32,53,0.604,10,32,0.313,14,23,0.609,108
405,PHO,2024-11-15,83,@,OKC,L 83-99,240,22,75,0.293,13,38,0.342,9,37,0.243,30,40,0.75,83,36,91,0.396,26,51,0.51,10,40,0.25,17,18,0.944,99
406,IND,2024-11-08,83,@,CHO,L 83-103,240,33,83,0.398,24,54,0.444,9,29,0.31,8,14,0.571,83,38,90,0.422,21,40,0.525,17,50,0.34,10,12,0.833,103
